group,day,phenotype,visible_point,fraction,treatment,source_pixel_y
R_0.05pct,0,fibroblast,1,0.010000,true,assumption
R_0.05pct,0,resistant,1,0.000495,true,assumption
R_0.05pct,0,sensitive,1,0.989505,true,assumption
R_0.05pct,7,fibroblast,1,0.939799,true,90
R_0.05pct,7,fibroblast,2,0.856187,true,115
R_0.05pct,7,resistant,1,0.000000,true,371
R_0.05pct,7,sensitive,1,0.140468,true,329
R_0.05pct,7,sensitive,2,0.123746,true,334
R_0.05pct,7,sensitive,3,0.053512,true,355
R_0.05pct,14,fibroblast,1,0.953177,true,86
R_0.05pct,14,fibroblast,2,0.929766,true,93
R_0.05pct,14,resistant,1,0.000000,true,371
R_0.05pct,14,sensitive,1,0.066890,true,351
R_0.05pct,14,sensitive,2,0.043478,true,358
R_0.05pct,21,fibroblast,1,0.949833,true,87
R_0.05pct,21,fibroblast,2,0.903010,true,101
R_0.05pct,21,fibroblast,3,0.882943,true,107
R_0.05pct,21,resistant,1,0.000000,true,371
R_0.05pct,21,sensitive,1,0.110368,true,338
R_0.05pct,21,sensitive,2,0.093645,true,343
R_0.05pct,21,sensitive,3,0.046823,true,357
R_0.05pct,28,fibroblast,1,0.943144,true,89
R_0.05pct,28,fibroblast,2,0.916388,true,97
R_0.05pct,28,fibroblast,3,0.879599,true,108
R_0.05pct,28,resistant,1,0.000000,true,371
R_0.05pct,28,sensitive,1,0.113712,true,337
R_0.05pct,28,sensitive,2,0.053512,true,355
R_0.05pct,35,fibroblast,1,0.976589,true,79
R_0.05pct,35,fibroblast,2,0.959866,true,84
R_0.05pct,35,resistant,1,0.000000,true,371
R_0.05pct,35,sensitive,1,0.033445,true,361
R_0.05pct,45,fibroblast,1,0.969900,true,81
R_0.05pct,45,resistant,1,0.000000,true,372
R_0.05pct,45,sensitive,1,0.026756,true,363
R_0pct,0,fibroblast,1,0.010000,false,text_assumption
R_0pct,0,resistant,1,0.000000,false,text_assumption
R_0pct,0,sensitive,1,0.990000,false,text_assumption
R_0pct,7,fibroblast,1,0.010000,false,text_assumption
R_0pct,7,resistant,1,0.000000,false,text_assumption
R_0pct,7,sensitive,1,0.990000,false,text_assumption
R_0pct,14,fibroblast,1,0.010000,false,text_assumption
R_0pct,14,resistant,1,0.000000,false,text_assumption
R_0pct,14,sensitive,1,0.990000,false,text_assumption
R_100pct,0,fibroblast,1,0.010000,false,text_assumption
R_100pct,0,resistant,1,0.990000,false,text_assumption
R_100pct,0,sensitive,1,0.000000,false,text_assumption
R_100pct,7,fibroblast,1,0.010000,false,text_assumption
R_100pct,7,resistant,1,0.990000,false,text_assumption
R_100pct,7,sensitive,1,0.000000,false,text_assumption
R_100pct,14,fibroblast,1,0.010000,false,text_assumption
R_100pct,14,resistant,1,0.990000,false,text_assumption
R_100pct,14,sensitive,1,0.000000,false,text_assumption
R_100pct,21,fibroblast,1,0.010000,false,text_assumption
R_100pct,21,resistant,1,0.990000,false,text_assumption
R_100pct,21,sensitive,1,0.000000,false,text_assumption
R_1pct,0,fibroblast,1,0.010000,true,assumption
R_1pct,0,resistant,1,0.009900,true,assumption
R_1pct,0,sensitive,1,0.980100,true,assumption
R_1pct,7,fibroblast,1,0.916388,true,97
R_1pct,7,fibroblast,2,0.759197,true,144
R_1pct,7,fibroblast,3,0.729097,true,153
R_1pct,7,fibroblast,4,0.712375,true,158
R_1pct,7,fibroblast,5,0.692308,true,164
R_1pct,7,fibroblast,6,0.635452,true,181
R_1pct,7,fibroblast,7,0.571906,true,200
R_1pct,7,resistant,1,0.000000,true,371
R_1pct,7,sensitive,1,0.424749,true,244
R_1pct,7,sensitive,2,0.361204,true,263
R_1pct,7,sensitive,3,0.304348,true,280
R_1pct,7,sensitive,4,0.274247,true,289
R_1pct,7,sensitive,5,0.234114,true,301
R_1pct,7,sensitive,6,0.083612,true,346
R_1pct,14,fibroblast,1,0.956522,true,85
R_1pct,14,fibroblast,2,0.916388,true,97
R_1pct,14,fibroblast,3,0.889632,true,105
R_1pct,14,fibroblast,4,0.862876,true,113
R_1pct,14,resistant,1,0.006689,true,369
R_1pct,14,sensitive,1,0.120401,true,335
R_1pct,14,sensitive,2,0.103679,true,340
R_1pct,14,sensitive,3,0.083612,true,346
R_1pct,14,sensitive,4,0.043478,true,358
R_1pct,21,fibroblast,1,0.959866,true,84
R_1pct,21,fibroblast,2,0.943144,true,89
R_1pct,21,fibroblast,3,0.926421,true,94
R_1pct,21,fibroblast,4,0.889632,true,105
R_1pct,21,resistant,1,0.043478,true,358
R_1pct,21,resistant,2,0.016722,true,366
R_1pct,21,sensitive,1,0.063545,true,352
R_1pct,28,fibroblast,1,0.969900,true,81
R_1pct,28,fibroblast,2,0.919732,true,96
R_1pct,28,fibroblast,3,0.903010,true,101
R_1pct,28,fibroblast,4,0.882943,true,107
R_1pct,28,fibroblast,5,0.866221,true,112
R_1pct,28,resistant,1,0.066890,true,351
R_1pct,28,resistant,2,0.020067,true,365
R_1pct,28,sensitive,1,0.036789,true,360
R_1pct,35,fibroblast,1,0.976589,true,79
R_1pct,35,fibroblast,2,0.886288,true,106
R_1pct,35,resistant,1,0.103679,true,340
R_1pct,35,resistant,2,0.070234,true,350
R_1pct,35,resistant,3,0.016722,true,366
R_1pct,35,sensitive,1,0.036789,true,360
R_20pct,0,fibroblast,1,0.000000,true,371
R_20pct,0,resistant,1,0.180602,true,317
R_20pct,0,sensitive,1,0.789298,true,135
R_20pct,7,fibroblast,1,0.752508,true,146
R_20pct,7,fibroblast,2,0.695652,true,163
R_20pct,7,fibroblast,3,0.628763,true,183
R_20pct,7,resistant,1,0.103679,true,340
R_20pct,7,resistant,2,0.036789,true,360
R_20pct,7,sensitive,1,0.220736,true,305
R_20pct,7,sensitive,2,0.187291,true,315
R_20pct,14,fibroblast,1,0.615385,true,187
R_20pct,14,fibroblast,2,0.591973,true,194
R_20pct,14,fibroblast,3,0.568562,true,201
R_20pct,14,fibroblast,4,0.481605,true,227
R_20pct,14,resistant,1,0.374582,true,259
R_20pct,14,resistant,2,0.324415,true,274
R_20pct,14,resistant,3,0.304348,true,280
R_20pct,14,resistant,4,0.277592,true,288
R_20pct,14,sensitive,1,0.110368,true,338
R_20pct,14,sensitive,2,0.073579,true,349
R_20pct,24,fibroblast,1,0.581940,true,197
R_20pct,24,fibroblast,2,0.481605,true,227
R_20pct,24,fibroblast,3,0.120401,true,335
R_20pct,24,resistant,1,0.806020,true,130
R_20pct,24,resistant,2,0.461538,true,233
R_20pct,24,resistant,3,0.367893,true,261
R_20pct,24,sensitive,1,0.036789,true,360
R_20pct,24,sensitive,2,0.013378,true,367
