initial_resistant_fraction,emdr,starting_volume_mm3,window_percent,relapse_day,horizon_days
0.0,False,1500.0,1,42,2000
0.0,False,1500.0,2,39,2000
0.0,False,1500.0,3,38,2000
0.0,False,1500.0,4,32,2000
0.0,False,1500.0,5,32,2000
0.0,False,1500.0,6,32,2000
0.0,False,1500.0,7,32,2000
0.0,False,1500.0,8,32,2000
0.0,False,1500.0,9,32,2000
0.0,False,1500.0,10,35,2000
0.0,False,1500.0,11,35,2000
0.0,False,1500.0,12,35,2000
0.0,False,1500.0,13,35,2000
0.0,False,1500.0,14,35,2000
0.0,False,1500.0,15,35,2000
0.0,False,1500.0,16,35,2000
0.0,False,1500.0,17,35,2000
0.0,False,1500.0,18,35,2000
0.0,False,1500.0,19,7,2000
0.0,False,1500.0,20,7,2000
0.0,False,1700.0,1,41,2000
0.0,False,1700.0,2,39,2000
0.0,False,1700.0,3,37,2000
0.0,False,1700.0,4,37,2000
0.0,False,1700.0,5,37,2000
0.0,False,1700.0,6,37,2000
0.0,False,1700.0,7,37,2000
0.0,False,1700.0,8,37,2000
0.0,False,1700.0,9,38,2000
0.0,False,1700.0,10,38,2000
0.0,False,1700.0,11,38,2000
0.0,False,1700.0,12,38,2000
0.0,False,1700.0,13,38,2000
0.0,False,1700.0,14,38,2000
0.0,False,1700.0,15,38,2000
0.0,False,1700.0,16,38,2000
0.0,False,1700.0,17,7,2000
0.0,False,1700.0,18,7,2000
0.0,False,1700.0,19,7,2000
0.0,False,1700.0,20,7,2000
0.0,False,1900.0,1,57,2000
0.0,False,1900.0,2,50,2000
0.0,False,1900.0,3,40,2000
0.0,False,1900.0,4,40,2000
0.0,False,1900.0,5,40,2000
0.0,False,1900.0,6,40,2000
0.0,False,1900.0,7,39,2000
0.0,False,1900.0,8,39,2000
0.0,False,1900.0,9,39,2000
0.0,False,1900.0,10,43,2000
0.0,False,1900.0,11,43,2000
0.0,False,1900.0,12,43,2000
0.0,False,1900.0,13,43,2000
0.0,False,1900.0,14,43,2000
0.0,False,1900.0,15,7,2000
0.0,False,1900.0,16,7,2000
0.0,False,1900.0,17,7,2000
0.0,False,1900.0,18,7,2000
0.0,False,1900.0,19,7,2000
0.0,False,1900.0,20,7,2000
0.0,False,2100.0,1,indefinite_within_horizon,2000
0.0,False,2100.0,2,68,2000
0.0,False,2100.0,3,60,2000
0.0,False,2100.0,4,44,2000
0.0,False,2100.0,5,42,2000
0.0,False,2100.0,6,41,2000
0.0,False,2100.0,7,41,2000
0.0,False,2100.0,8,41,2000
0.0,False,2100.0,9,41,2000
0.0,False,2100.0,10,41,2000
0.0,False,2100.0,11,41,2000
0.0,False,2100.0,12,48,2000
0.0,False,2100.0,13,43,2000
0.0,False,2100.0,14,43,2000
0.0,False,2100.0,15,43,2000
0.0,False,2100.0,16,43,2000
0.0,False,2100.0,17,43,2000
0.0,False,2100.0,18,43,2000
0.0,False,2100.0,19,43,2000
0.0,False,2100.0,20,8,2000
0.0,False,2300.0,1,indefinite_within_horizon,2000
0.0,False,2300.0,2,indefinite_within_horizon,2000
0.0,False,2300.0,3,52,2000
0.0,False,2300.0,4,47,2000
0.0,False,2300.0,5,47,2000
0.0,False,2300.0,6,47,2000
0.0,False,2300.0,7,43,2000
0.0,False,2300.0,8,43,2000
0.0,False,2300.0,9,43,2000
0.0,False,2300.0,10,47,2000
0.0,False,2300.0,11,48,2000
0.0,False,2300.0,12,48,2000
0.0,False,2300.0,13,48,2000
0.0,False,2300.0,14,48,2000
0.0,False,2300.0,15,48,2000
0.0,False,2300.0,16,48,2000
0.0,False,2300.0,17,8,2000
0.0,False,2300.0,18,8,2000
0.0,False,2300.0,19,8,2000
0.0,False,2300.0,20,8,2000
0.0,False,2500.0,1,indefinite_within_horizon,2000
0.0,False,2500.0,2,indefinite_within_horizon,2000
0.0,False,2500.0,3,71,2000
0.0,False,2500.0,4,51,2000
0.0,False,2500.0,5,51,2000
0.0,False,2500.0,6,51,2000
0.0,False,2500.0,7,51,2000
0.0,False,2500.0,8,51,2000
0.0,False,2500.0,9,51,2000
0.0,False,2500.0,10,51,2000
0.0,False,2500.0,11,55,2000
0.0,False,2500.0,12,55,2000
0.0,False,2500.0,13,55,2000
0.0,False,2500.0,14,55,2000
0.0,False,2500.0,15,51,2000
0.0,False,2500.0,16,51,2000
0.0,False,2500.0,17,51,2000
0.0,False,2500.0,18,51,2000
0.0,False,2500.0,19,51,2000
0.0,False,2500.0,20,9,2000
0.0,False,2700.0,1,indefinite_within_horizon,2000
0.0,False,2700.0,2,indefinite_within_horizon,2000
0.0,False,2700.0,3,indefinite_within_horizon,2000
0.0,False,2700.0,4,79,2000
0.0,False,2700.0,5,58,2000
0.0,False,2700.0,6,58,2000
0.0,False,2700.0,7,54,2000
0.0,False,2700.0,8,54,2000
0.0,False,2700.0,9,56,2000
0.0,False,2700.0,10,56,2000
0.0,False,2700.0,11,56,2000
0.0,False,2700.0,12,58,2000
0.0,False,2700.0,13,58,2000
0.0,False,2700.0,14,58,2000
0.0,False,2700.0,15,58,2000
0.0,False,2700.0,16,58,2000
0.0,False,2700.0,17,9,2000
0.0,False,2700.0,18,9,2000
0.0,False,2700.0,19,9,2000
0.0,False,2700.0,20,9,2000
0.0,False,2900.0,1,indefinite_within_horizon,2000
0.0,False,2900.0,2,indefinite_within_horizon,2000
0.0,False,2900.0,3,indefinite_within_horizon,2000
0.0,False,2900.0,4,indefinite_within_horizon,2000
0.0,False,2900.0,5,71,2000
0.0,False,2900.0,6,65,2000
0.0,False,2900.0,7,65,2000
0.0,False,2900.0,8,61,2000
0.0,False,2900.0,9,61,2000
0.0,False,2900.0,10,63,2000
0.0,False,2900.0,11,63,2000
0.0,False,2900.0,12,68,2000
0.0,False,2900.0,13,68,2000
0.0,False,2900.0,14,64,2000
0.0,False,2900.0,15,64,2000
0.0,False,2900.0,16,64,2000
0.0,False,2900.0,17,64,2000
0.0,False,2900.0,18,64,2000
0.0,False,2900.0,19,10,2000
0.0,False,2900.0,20,10,2000
0.0,False,3100.0,1,indefinite_within_horizon,2000
0.0,False,3100.0,2,indefinite_within_horizon,2000
0.0,False,3100.0,3,indefinite_within_horizon,2000
0.0,False,3100.0,4,indefinite_within_horizon,2000
0.0,False,3100.0,5,86,2000
0.0,False,3100.0,6,78,2000
0.0,False,3100.0,7,72,2000
0.0,False,3100.0,8,69,2000
0.0,False,3100.0,9,69,2000
0.0,False,3100.0,10,72,2000
0.0,False,3100.0,11,72,2000
0.0,False,3100.0,12,76,2000
0.0,False,3100.0,13,76,2000
0.0,False,3100.0,14,76,2000
0.0,False,3100.0,15,76,2000
0.0,False,3100.0,16,73,2000
0.0,False,3100.0,17,73,2000
0.0,False,3100.0,18,73,2000
0.0,False,3100.0,19,73,2000
0.0,False,3100.0,20,11,2000
0.0,False,3300.0,1,indefinite_within_horizon,2000
0.0,False,3300.0,2,indefinite_within_horizon,2000
0.0,False,3300.0,3,indefinite_within_horizon,2000
0.0,False,3300.0,4,indefinite_within_horizon,2000
0.0,False,3300.0,5,indefinite_within_horizon,2000
0.0,False,3300.0,6,95,2000
0.0,False,3300.0,7,86,2000
0.0,False,3300.0,8,82,2000
0.0,False,3300.0,9,86,2000
0.0,False,3300.0,10,83,2000
0.0,False,3300.0,11,83,2000
0.0,False,3300.0,12,83,2000
0.0,False,3300.0,13,87,2000
0.0,False,3300.0,14,87,2000
0.0,False,3300.0,15,87,2000
0.0,False,3300.0,16,85,2000
0.0,False,3300.0,17,85,2000
0.0,False,3300.0,18,85,2000
0.0,False,3300.0,19,12,2000
0.0,False,3300.0,20,12,2000
0.0,False,3500.0,1,indefinite_within_horizon,2000
0.0,False,3500.0,2,indefinite_within_horizon,2000
0.0,False,3500.0,3,indefinite_within_horizon,2000
0.0,False,3500.0,4,indefinite_within_horizon,2000
0.0,False,3500.0,5,indefinite_within_horizon,2000
0.0,False,3500.0,6,indefinite_within_horizon,2000
0.0,False,3500.0,7,106,2000
0.0,False,3500.0,8,100,2000
0.0,False,3500.0,9,99,2000
0.0,False,3500.0,10,101,2000
0.0,False,3500.0,11,101,2000
0.0,False,3500.0,12,101,2000
0.0,False,3500.0,13,100,2000
0.0,False,3500.0,14,104,2000
0.0,False,3500.0,15,104,2000
0.0,False,3500.0,16,102,2000
0.0,False,3500.0,17,102,2000
0.0,False,3500.0,18,13,2000
0.0,False,3500.0,19,13,2000
0.0,False,3500.0,20,13,2000
0.0,False,3700.0,1,indefinite_within_horizon,2000
0.0,False,3700.0,2,indefinite_within_horizon,2000
0.0,False,3700.0,3,indefinite_within_horizon,2000
0.0,False,3700.0,4,indefinite_within_horizon,2000
0.0,False,3700.0,5,indefinite_within_horizon,2000
0.0,False,3700.0,6,indefinite_within_horizon,2000
0.0,False,3700.0,7,indefinite_within_horizon,2000
0.0,False,3700.0,8,125,2000
0.0,False,3700.0,9,128,2000
0.0,False,3700.0,10,126,2000
0.0,False,3700.0,11,126,2000
0.0,False,3700.0,12,126,2000
0.0,False,3700.0,13,125,2000
0.0,False,3700.0,14,125,2000
0.0,False,3700.0,15,127,2000
0.0,False,3700.0,16,127,2000
0.0,False,3700.0,17,126,2000
0.0,False,3700.0,18,126,2000
0.0,False,3700.0,19,126,2000
0.0,False,3700.0,20,16,2000
0.0,False,3900.0,1,indefinite_within_horizon,2000
0.0,False,3900.0,2,indefinite_within_horizon,2000
0.0,False,3900.0,3,indefinite_within_horizon,2000
0.0,False,3900.0,4,indefinite_within_horizon,2000
0.0,False,3900.0,5,indefinite_within_horizon,2000
0.0,False,3900.0,6,indefinite_within_horizon,2000
0.0,False,3900.0,7,indefinite_within_horizon,2000
0.0,False,3900.0,8,indefinite_within_horizon,2000
0.0,False,3900.0,9,indefinite_within_horizon,2000
0.0,False,3900.0,10,182,2000
0.0,False,3900.0,11,177,2000
0.0,False,3900.0,12,169,2000
0.0,False,3900.0,13,169,2000
0.0,False,3900.0,14,170,2000
0.0,False,3900.0,15,170,2000
0.0,False,3900.0,16,168,2000
0.0,False,3900.0,17,168,2000
0.0,False,3900.0,18,169,2000
0.0,False,3900.0,19,169,2000
0.0,False,3900.0,20,19,2000
0.0,False,4100.0,1,indefinite_within_horizon,2000
0.0,False,4100.0,2,indefinite_within_horizon,2000
0.0,False,4100.0,3,indefinite_within_horizon,2000
0.0,False,4100.0,4,indefinite_within_horizon,2000
0.0,False,4100.0,5,indefinite_within_horizon,2000
0.0,False,4100.0,6,indefinite_within_horizon,2000
0.0,False,4100.0,7,indefinite_within_horizon,2000
0.0,False,4100.0,8,indefinite_within_horizon,2000
0.0,False,4100.0,9,indefinite_within_horizon,2000
0.0,False,4100.0,10,indefinite_within_horizon,2000
0.0,False,4100.0,11,indefinite_within_horizon,2000
0.0,False,4100.0,12,indefinite_within_horizon,2000
0.0,False,4100.0,13,indefinite_within_horizon,2000
0.0,False,4100.0,14,298,2000
0.0,False,4100.0,15,284,2000
0.0,False,4100.0,16,288,2000
0.0,False,4100.0,17,292,2000
0.0,False,4100.0,18,296,2000
0.0,False,4100.0,19,282,2000
0.0,False,4100.0,20,30,2000
0.0,True,1500.0,1,34,2000
0.0,True,1500.0,2,32,2000
0.0,True,1500.0,3,32,2000
0.0,True,1500.0,4,27,2000
0.0,True,1500.0,5,27,2000
0.0,True,1500.0,6,27,2000
0.0,True,1500.0,7,27,2000
0.0,True,1500.0,8,27,2000
0.0,True,1500.0,9,29,2000
0.0,True,1500.0,10,29,2000
0.0,True,1500.0,11,29,2000
0.0,True,1500.0,12,29,2000
0.0,True,1500.0,13,29,2000
0.0,True,1500.0,14,29,2000
0.0,True,1500.0,15,29,2000
0.0,True,1500.0,16,29,2000
0.0,True,1500.0,17,29,2000
0.0,True,1500.0,18,29,2000
0.0,True,1500.0,19,7,2000
0.0,True,1500.0,20,7,2000
0.0,True,1700.0,1,38,2000
0.0,True,1700.0,2,31,2000
0.0,True,1700.0,3,31,2000
0.0,True,1700.0,4,31,2000
0.0,True,1700.0,5,31,2000
0.0,True,1700.0,6,31,2000
0.0,True,1700.0,7,31,2000
0.0,True,1700.0,8,31,2000
0.0,True,1700.0,9,32,2000
0.0,True,1700.0,10,32,2000
0.0,True,1700.0,11,32,2000
0.0,True,1700.0,12,32,2000
0.0,True,1700.0,13,32,2000
0.0,True,1700.0,14,32,2000
0.0,True,1700.0,15,32,2000
0.0,True,1700.0,16,32,2000
0.0,True,1700.0,17,7,2000
0.0,True,1700.0,18,7,2000
0.0,True,1700.0,19,7,2000
0.0,True,1700.0,20,7,2000
0.0,True,1900.0,1,38,2000
0.0,True,1900.0,2,38,2000
0.0,True,1900.0,3,37,2000
0.0,True,1900.0,4,33,2000
0.0,True,1900.0,5,33,2000
0.0,True,1900.0,6,34,2000
0.0,True,1900.0,7,32,2000
0.0,True,1900.0,8,32,2000
0.0,True,1900.0,9,35,2000
0.0,True,1900.0,10,35,2000
0.0,True,1900.0,11,35,2000
0.0,True,1900.0,12,35,2000
0.0,True,1900.0,13,35,2000
0.0,True,1900.0,14,35,2000
0.0,True,1900.0,15,7,2000
0.0,True,1900.0,16,7,2000
0.0,True,1900.0,17,7,2000
0.0,True,1900.0,18,7,2000
0.0,True,1900.0,19,7,2000
0.0,True,1900.0,20,7,2000
0.0,True,2100.0,1,44,2000
0.0,True,2100.0,2,42,2000
0.0,True,2100.0,3,40,2000
0.0,True,2100.0,4,38,2000
0.0,True,2100.0,5,35,2000
0.0,True,2100.0,6,34,2000
0.0,True,2100.0,7,34,2000
0.0,True,2100.0,8,37,2000
0.0,True,2100.0,9,34,2000
0.0,True,2100.0,10,34,2000
0.0,True,2100.0,11,39,2000
0.0,True,2100.0,12,39,2000
0.0,True,2100.0,13,35,2000
0.0,True,2100.0,14,35,2000
0.0,True,2100.0,15,35,2000
0.0,True,2100.0,16,35,2000
0.0,True,2100.0,17,35,2000
0.0,True,2100.0,18,35,2000
0.0,True,2100.0,19,35,2000
0.0,True,2100.0,20,8,2000
0.0,True,2300.0,1,58,2000
0.0,True,2300.0,2,48,2000
0.0,True,2300.0,3,43,2000
0.0,True,2300.0,4,40,2000
0.0,True,2300.0,5,40,2000
0.0,True,2300.0,6,39,2000
0.0,True,2300.0,7,36,2000
0.0,True,2300.0,8,36,2000
0.0,True,2300.0,9,36,2000
0.0,True,2300.0,10,39,2000
0.0,True,2300.0,11,40,2000
0.0,True,2300.0,12,40,2000
0.0,True,2300.0,13,40,2000
0.0,True,2300.0,14,40,2000
0.0,True,2300.0,15,40,2000
0.0,True,2300.0,16,40,2000
0.0,True,2300.0,17,8,2000
0.0,True,2300.0,18,8,2000
0.0,True,2300.0,19,8,2000
0.0,True,2300.0,20,8,2000
0.0,True,2500.0,1,indefinite_within_horizon,2000
0.0,True,2500.0,2,indefinite_within_horizon,2000
0.0,True,2500.0,3,77,2000
0.0,True,2500.0,4,47,2000
0.0,True,2500.0,5,42,2000
0.0,True,2500.0,6,42,2000
0.0,True,2500.0,7,42,2000
0.0,True,2500.0,8,42,2000
0.0,True,2500.0,9,42,2000
0.0,True,2500.0,10,45,2000
0.0,True,2500.0,11,45,2000
0.0,True,2500.0,12,45,2000
0.0,True,2500.0,13,45,2000
0.0,True,2500.0,14,45,2000
0.0,True,2500.0,15,42,2000
0.0,True,2500.0,16,42,2000
0.0,True,2500.0,17,42,2000
0.0,True,2500.0,18,42,2000
0.0,True,2500.0,19,42,2000
0.0,True,2500.0,20,9,2000
0.0,True,2700.0,1,indefinite_within_horizon,2000
0.0,True,2700.0,2,indefinite_within_horizon,2000
0.0,True,2700.0,3,58,2000
0.0,True,2700.0,4,55,2000
0.0,True,2700.0,5,48,2000
0.0,True,2700.0,6,48,2000
0.0,True,2700.0,7,45,2000
0.0,True,2700.0,8,45,2000
0.0,True,2700.0,9,46,2000
0.0,True,2700.0,10,46,2000
0.0,True,2700.0,11,46,2000
0.0,True,2700.0,12,48,2000
0.0,True,2700.0,13,48,2000
0.0,True,2700.0,14,48,2000
0.0,True,2700.0,15,48,2000
0.0,True,2700.0,16,48,2000
0.0,True,2700.0,17,9,2000
0.0,True,2700.0,18,9,2000
0.0,True,2700.0,19,9,2000
0.0,True,2700.0,20,9,2000
0.0,True,2900.0,1,indefinite_within_horizon,2000
0.0,True,2900.0,2,indefinite_within_horizon,2000
0.0,True,2900.0,3,indefinite_within_horizon,2000
0.0,True,2900.0,4,101,2000
0.0,True,2900.0,5,54,2000
0.0,True,2900.0,6,54,2000
0.0,True,2900.0,7,54,2000
0.0,True,2900.0,8,51,2000
0.0,True,2900.0,9,51,2000
0.0,True,2900.0,10,52,2000
0.0,True,2900.0,11,55,2000
0.0,True,2900.0,12,55,2000
0.0,True,2900.0,13,55,2000
0.0,True,2900.0,14,53,2000
0.0,True,2900.0,15,53,2000
0.0,True,2900.0,16,53,2000
0.0,True,2900.0,17,53,2000
0.0,True,2900.0,18,53,2000
0.0,True,2900.0,19,10,2000
0.0,True,2900.0,20,10,2000
0.0,True,3100.0,1,indefinite_within_horizon,2000
0.0,True,3100.0,2,indefinite_within_horizon,2000
0.0,True,3100.0,3,indefinite_within_horizon,2000
0.0,True,3100.0,4,indefinite_within_horizon,2000
0.0,True,3100.0,5,66,2000
0.0,True,3100.0,6,63,2000
0.0,True,3100.0,7,63,2000
0.0,True,3100.0,8,58,2000
0.0,True,3100.0,9,58,2000
0.0,True,3100.0,10,60,2000
0.0,True,3100.0,11,60,2000
0.0,True,3100.0,12,62,2000
0.0,True,3100.0,13,62,2000
0.0,True,3100.0,14,62,2000
0.0,True,3100.0,15,62,2000
0.0,True,3100.0,16,60,2000
0.0,True,3100.0,17,60,2000
0.0,True,3100.0,18,60,2000
0.0,True,3100.0,19,60,2000
0.0,True,3100.0,20,11,2000
0.0,True,3300.0,1,indefinite_within_horizon,2000
0.0,True,3300.0,2,indefinite_within_horizon,2000
0.0,True,3300.0,3,indefinite_within_horizon,2000
0.0,True,3300.0,4,indefinite_within_horizon,2000
0.0,True,3300.0,5,indefinite_within_horizon,2000
0.0,True,3300.0,6,116,2000
0.0,True,3300.0,7,72,2000
0.0,True,3300.0,8,68,2000
0.0,True,3300.0,9,71,2000
0.0,True,3300.0,10,71,2000
0.0,True,3300.0,11,69,2000
0.0,True,3300.0,12,69,2000
0.0,True,3300.0,13,71,2000
0.0,True,3300.0,14,71,2000
0.0,True,3300.0,15,71,2000
0.0,True,3300.0,16,69,2000
0.0,True,3300.0,17,69,2000
0.0,True,3300.0,18,69,2000
0.0,True,3300.0,19,12,2000
0.0,True,3300.0,20,12,2000
0.0,True,3500.0,1,indefinite_within_horizon,2000
0.0,True,3500.0,2,indefinite_within_horizon,2000
0.0,True,3500.0,3,indefinite_within_horizon,2000
0.0,True,3500.0,4,indefinite_within_horizon,2000
0.0,True,3500.0,5,indefinite_within_horizon,2000
0.0,True,3500.0,6,indefinite_within_horizon,2000
0.0,True,3500.0,7,97,2000
0.0,True,3500.0,8,81,2000
0.0,True,3500.0,9,81,2000
0.0,True,3500.0,10,84,2000
0.0,True,3500.0,11,83,2000
0.0,True,3500.0,12,83,2000
0.0,True,3500.0,13,84,2000
0.0,True,3500.0,14,84,2000
0.0,True,3500.0,15,84,2000
0.0,True,3500.0,16,83,2000
0.0,True,3500.0,17,83,2000
0.0,True,3500.0,18,13,2000
0.0,True,3500.0,19,13,2000
0.0,True,3500.0,20,13,2000
0.0,True,3700.0,1,indefinite_within_horizon,2000
0.0,True,3700.0,2,indefinite_within_horizon,2000
0.0,True,3700.0,3,indefinite_within_horizon,2000
0.0,True,3700.0,4,indefinite_within_horizon,2000
0.0,True,3700.0,5,indefinite_within_horizon,2000
0.0,True,3700.0,6,indefinite_within_horizon,2000
0.0,True,3700.0,7,indefinite_within_horizon,2000
0.0,True,3700.0,8,104,2000
0.0,True,3700.0,9,105,2000
0.0,True,3700.0,10,104,2000
0.0,True,3700.0,11,104,2000
0.0,True,3700.0,12,104,2000
0.0,True,3700.0,13,104,2000
0.0,True,3700.0,14,104,2000
0.0,True,3700.0,15,104,2000
0.0,True,3700.0,16,104,2000
0.0,True,3700.0,17,103,2000
0.0,True,3700.0,18,103,2000
0.0,True,3700.0,19,103,2000
0.0,True,3700.0,20,16,2000
0.0,True,3900.0,1,indefinite_within_horizon,2000
0.0,True,3900.0,2,indefinite_within_horizon,2000
0.0,True,3900.0,3,indefinite_within_horizon,2000
0.0,True,3900.0,4,indefinite_within_horizon,2000
0.0,True,3900.0,5,indefinite_within_horizon,2000
0.0,True,3900.0,6,indefinite_within_horizon,2000
0.0,True,3900.0,7,indefinite_within_horizon,2000
0.0,True,3900.0,8,indefinite_within_horizon,2000
0.0,True,3900.0,9,138,2000
0.0,True,3900.0,10,142,2000
0.0,True,3900.0,11,139,2000
0.0,True,3900.0,12,139,2000
0.0,True,3900.0,13,140,2000
0.0,True,3900.0,14,141,2000
0.0,True,3900.0,15,141,2000
0.0,True,3900.0,16,137,2000
0.0,True,3900.0,17,138,2000
0.0,True,3900.0,18,138,2000
0.0,True,3900.0,19,138,2000
0.0,True,3900.0,20,19,2000
0.0,True,4100.0,1,indefinite_within_horizon,2000
0.0,True,4100.0,2,indefinite_within_horizon,2000
0.0,True,4100.0,3,indefinite_within_horizon,2000
0.0,True,4100.0,4,indefinite_within_horizon,2000
0.0,True,4100.0,5,indefinite_within_horizon,2000
0.0,True,4100.0,6,indefinite_within_horizon,2000
0.0,True,4100.0,7,indefinite_within_horizon,2000
0.0,True,4100.0,8,indefinite_within_horizon,2000
0.0,True,4100.0,9,indefinite_within_horizon,2000
0.0,True,4100.0,10,indefinite_within_horizon,2000
0.0,True,4100.0,11,indefinite_within_horizon,2000
0.0,True,4100.0,12,288,2000
0.0,True,4100.0,13,245,2000
0.0,True,4100.0,14,233,2000
